ID,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
1,9.35,56.3,72,120,110,267,137,169,121,143,123,499,200,268,50,54,51,696,679,699,183,178,178,1282,453,923,65.1982771576136,31.1019163991099,8.36666680375735,6.0126604396302,1.57902301702349,1.24094052647635,G. Cold and mesic,G,G13
2,18.1,48.27,134,141,140,276,224,252,262,290,265,564,142,163,71,72,73,190,217,162,548,493,573,375,134,164,52.4816100554562,29.2747421130602,10.1979886733381,7.9333661165122,2.27701153225083,1.58301149757971,J. Cool temperate and moist,J,J5
3,0.46,41.44,138,148,144,214,183,188,280,326,278,245,113,151,76,79,79,266,244,265,454,430,458,368,138,169,38.8109202200825,26.321971653809,16.0695404677556,6.49499418805423,3.49655178155022,1.87154939166673,L. Warm temperate and xeric,L,L1
4,0.21,41.43,131,146,143,249,224,225,298,321,298,277,142,134,78,81,82,181,176,176,522,503,526,264,112,137,38.8109202200825,26.321971653809,16.0695404677556,6.49499418805423,3.49655178155022,1.87154939166673,K. Warm temperate and mesic,K,K9
5,0.05,41.57,135,148,145,209,199,198,266,303,274,267,131,123,77,80,81,221,216,215,514,481,511,265,118,132,40.4827592581853,24.9035674112055,15.7235634710597,6.78177486600811,3.47959775434828,2.00131454414152,K. Warm temperate and mesic,K,K4
6,0.07,42.33,130,142,135,278,200,219,240,276,243,520,192,240,69,70,70,346,337,346,414,387,411,428,218,221,55.1008629853698,29.9145217300828,12.9810347358386,6.6772518933387,3.13045982511222,1.85504776119936,J. Cool temperate and moist,J,J5
7,0.59,42.35,109,129,118,270,208,230,273,285,268,396,221,268,72,73,73,313,317,316,413,398,417,931,233,355,64.351150547636,36.0746945387753,11.0885058983561,6.45458405021893,2.86666671494985,1.65852384643233,G. Cold and mesic,G,G13
8,14.33,47.33,76,100,92,377,241,269,282,308,294,1044,360,648,54,55,55,267,284,271,452,409,435,1352,487,781,131.819830107963,59.8909963574818,4.84109203286212,6.52580841163724,1.69252876423556,0.998789732953379,F. Extremely cold and mesic,F,F12
9,2.18,46.08,128,143,140,334,247,276,188,204,178,611,176,295,54,55,55,501,488,506,311,308,316,557,225,364,69.1603459846014,31.5327094974777,11.087931253958,5.93222281497009,2.25632187400827,1.46831680487225,J. Cool temperate and moist,J,J3
10,-4.26,40.3,135,144,139,243,217,221,242,280,241,221,117,110,74,75,74,504,487,511,254,233,249,226,132,113,32.4431039689473,27.6023659804611,15.1370692335326,6.80234159297081,3.32413798947444,1.9988449702615,K. Warm temperate and mesic,K,K9
11,-2.14,55.28,98,108,102,309,259,279,195,233,199,889,632,666,50,51,51,484,482,474,321,285,328,1755,703,846,86.1074726115698,37.4122716329367,7.8002874765588,4.30824894933306,1.27241381698813,0.879866350981749,G. Cold and mesic,G,G13
12,8.52,47.43,124,138,133,281,198,237,252,254,259,650,182,283,63,64,64,357,357,359,391,389,382,632,281,291,104.87126598413,49.8620731067568,9.25977026088827,6.56496184887477,1.81839083118,1.18662370217566,J. Cool temperate and moist,J,J3
13,13.6,55.99,90,128,117,313,175,191,126,124,115,694,428,460,43,46,44,575,578,582,299,298,303,1268,663,1271,57.6034492033309,27.5341184315386,8.39971277682946,6.44959852317424,1.69540232255113,1.37663987329584,G. Cold and mesic,G,G13
14,3.49,50.59,132,139,136,210.928934010152,120.631979695431,135.213197969543,200.134517766497,199.225888324873,199.763959390863,411.294416243655,161.738578680203,164.713197969543,53.3604060913706,55.0355329949239,55.0304568527919,158.020304568528,168.030456852792,157.61421319797,464.185279187817,455.068527918782,464.901015228426,434,168,235,68.5612080220519,31.7063106431322,10.7974139705472,5.52919627019264,1.90258623674598,1.26685487723776,J. Cool temperate and moist,J,J5
15,13.1,58.34,94,127,115,363,202,265,252,225,255,950,170,254,59,61,61,389,410,386,359,365,358,1186,318,416,57.6255756095908,27.1442166657084,6.83103456463793,7.01212314013762,1.58735635219377,1.44944031054771,G. Cold and mesic,G,G12
16,-5.16,37.8,135,147,141,188,177,182,294,299,283,257,111,140,71,70,72,323,334,318,384,368,399,320,118,154,42.5267248414671,45.745521128163,17.7376439955043,6.40407766460824,3.94022994514169,2.18204411068707,L. Warm temperate and xeric,L,L6
17,9.07,55.28,84,120,115,286,148,184,50,71,50,580,226,260,53,55,56,818,812,824,132,117,126,901,357,423,71.5362081829159,34.6962021384629,8.55948290361584,5.93604219354835,1.57241381884649,1.23252650536428,G. Cold and mesic,G,G13
18,12.16,42.29,100.795321637427,112.342105263158,108.406432748538,202.19298245614,174.824561403509,179.599415204678,239.590643274854,260.944444444444,238.789473684211,312.707602339181,123.324561403509,146.657894736842,58.2514619883041,59.0350877192983,58.5672514619883,243.134502923977,231.543859649123,242.491228070175,338.900584795322,329.119883040936,340.359649122807,412.002923976608,150.327485380117,163.982456140351,57.9169549661121,35.5814504537288,15.3876439291855,6.34612984857817,2.81666671613167,1.56763314629051,K. Warm temperate and mesic,K,K5
19,8.36,49.41,129,143,135,278,191,202,290,302,307,501,172,167,71,73,72,365,380,350,345,318,342,431,132,170,56.812644661158,26.4840264208297,11.3114944366717,6.86749738815831,2.11178164269732,1.46519831306612,J. Cool temperate and moist,J,J5
20,8.34,49.5,108.777202072539,122.163212435233,117.531088082902,266,196,205,308,288,305,635,176,174,70,72,73,367,377,369,325,335,326,533.761658031088,161.373056994819,251.261658031088,56.812644661158,26.4840264208297,11.3114944366717,6.86749738815831,2.11178164269732,1.46519831306612,J. Cool temperate and moist,J,J5
21,7.54,47.5,129,141,136,261,186,217,322,326,326,525,169,266,64,66,66,169,179,170,509,496,503,480,169,250,97.5818983891915,46.9354047054002,10.1485633820338,6.61358956303553,1.9275862331363,1.25442753011631,J. Cool temperate and moist,J,J5
